游戏总小时数,　评价
152.4,推荐
145.9,不推荐
39.8,不推荐
0.9,不推荐
55.2,不推荐
1.3,不推荐
52.6,不推荐
13.4,不推荐
4.9,推荐
117.5,不推荐
165.4,不推荐
13.8,推荐
118.1,不推荐
153.0,不推荐
143.1,不推荐
102.7,不推荐
1.9,不推荐
116.6,推荐
29.4,不推荐
22.8,推荐
36.3,不推荐
24.3,不推荐
103.6,不推荐
25.0,不推荐
53.5,推荐
98.8,不推荐
0.3,推荐
49.1,不推荐
1.2,不推荐
0.2,不推荐
0.7,不推荐
141.3,推荐
17.9,不推荐
134.9,不推荐
0.9,不推荐
167.2,不推荐
1.3,不推荐
49.2,推荐
2.1,不推荐
4.6,不推荐
66.8,不推荐
0.7,不推荐
129.9,不推荐
26.6,推荐
11.4,推荐
167.0,推荐
74.3,不推荐
150.1,不推荐
5.5,不推荐
22.3,不推荐
258.3,不推荐
108.4,不推荐
48.5,不推荐
9.4,推荐
5.8,不推荐
93.9,不推荐
62.9,不推荐
3.6,不推荐
32.5,推荐
57.6,推荐
38.9,推荐
18.2,不推荐
66.1,不推荐
0.5,不推荐
25.6,不推荐
45.4,不推荐
6.0,不推荐
41.9,不推荐
1.3,不推荐
3.0,不推荐
33.5,不推荐
69.5,不推荐
2.8,不推荐
53.7,不推荐
130.5,不推荐
134.8,不推荐
70.5,不推荐
1.1,不推荐
0.8,不推荐
42.4,不推荐
55.0,不推荐
87.3,不推荐
100.3,推荐
13.6,不推荐
42.1,不推荐
54.2,不推荐
57.4,推荐
74.3,推荐
23.5,不推荐
95.9,不推荐
33.8,不推荐
173.4,不推荐
92.9,推荐
53.5,不推荐
126.3,不推荐
34.9,推荐
36.9,不推荐
64.1,推荐
65.3,不推荐
20.1,不推荐
70.7,不推荐
104.2,不推荐
83.5,推荐
5.8,不推荐
27.3,推荐
43.7,不推荐
92.1,推荐
69.1,不推荐
140.4,推荐
72.2,不推荐
38.1,不推荐
10.7,不推荐
14.2,不推荐
138.6,不推荐
120.4,不推荐
32.2,推荐
89.4,推荐
48.2,不推荐
46.7,推荐
62.2,不推荐
43.4,不推荐
20.5,不推荐
43.5,不推荐
55.5,不推荐
50.0,不推荐
21.4,不推荐
40.1,不推荐
52.2,不推荐
43.9,不推荐
106.2,推荐
1.6,不推荐
46.8,不推荐
46.7,不推荐
19.5,推荐
39.7,推荐
51.2,推荐
13.7,不推荐
14.6,不推荐
1.2,不推荐
41.9,不推荐
116.1,推荐
97.4,不推荐
107.0,推荐
19.6,不推荐
96.9,不推荐
62.2,不推荐
6.3,不推荐
0.6,不推荐
57.1,不推荐
84.1,不推荐
6.2,不推荐
120.2,推荐
21.8,不推荐
58.1,不推荐
61.3,推荐
51.7,推荐
69.3,不推荐
32.4,不推荐
65.3,不推荐
5.4,不推荐
50.4,不推荐
0.7,不推荐
219.8,不推荐
23.9,不推荐
85.1,不推荐
125.5,不推荐
68.1,不推荐
142.8,不推荐
83.7,不推荐
171.6,不推荐
91.6,不推荐
160.8,推荐
59.1,不推荐
8.3,不推荐
0.2,不推荐
62.3,不推荐
145.1,推荐
24.5,推荐
31.7,不推荐
10.9,不推荐
68.8,不推荐
2.1,推荐
2.9,推荐
121.5,推荐
40.3,不推荐
42.1,不推荐
207.1,不推荐
64.1,不推荐
38.4,推荐
20.0,不推荐
30.9,不推荐
5.1,不推荐
0.6,不推荐
65.6,不推荐
48.4,不推荐
35.2,不推荐
12.8,不推荐
168.0,不推荐
26.1,不推荐
48.7,不推荐
61.8,推荐
56.6,推荐
18.6,不推荐
5.8,不推荐
12.7,不推荐
21.7,不推荐
92.3,不推荐
169.3,推荐
58.9,推荐
44.9,不推荐
90.4,不推荐
115.6,不推荐
2.8,不推荐
68.4,不推荐
16.4,不推荐
74.6,不推荐
118.3,不推荐
83.5,推荐
140.8,不推荐
7.5,不推荐
3.1,不推荐
171.7,不推荐
62.4,不推荐
29.0,不推荐
81.5,不推荐
16.1,不推荐
167.8,不推荐
35.7,不推荐
12.1,不推荐
22.1,不推荐
53.7,不推荐
90.9,推荐
118.2,不推荐
57.4,不推荐
98.2,推荐
87.0,不推荐
22.7,不推荐
66.3,不推荐
118.5,不推荐
82.4,不推荐
5.6,不推荐
132.1,不推荐
86.4,不推荐
92.4,不推荐
134.9,不推荐
0.3,不推荐
109.8,不推荐
80.2,不推荐
1.0,不推荐
84.7,不推荐
81.6,不推荐
37.6,不推荐
39.3,不推荐
126.0,不推荐
9.8,不推荐
6.1,不推荐
28.2,不推荐
36.2,不推荐
28.3,不推荐
92.4,推荐
72.7,不推荐
52.3,不推荐
27.9,不推荐
47.8,不推荐
45.7,不推荐
65.9,不推荐
4.5,不推荐
243.9,推荐
100.7,推荐
42.4,推荐
231.6,推荐
34.8,推荐
23.8,不推荐
98.6,不推荐
52.0,不推荐
199.9,不推荐
75.6,推荐
90.1,推荐
78.9,不推荐
65.0,不推荐
14.7,不推荐
45.5,推荐
0.4,不推荐
10.2,不推荐
28.9,不推荐
48.9,不推荐
26.4,不推荐
39.5,不推荐
94.8,推荐
72.0,不推荐
25.3,推荐
14.1,不推荐
195.0,不推荐
139.7,不推荐
28.9,不推荐
161.7,不推荐
47.3,不推荐
5.5,不推荐
9.8,不推荐
41.0,不推荐
87.2,不推荐
155.0,不推荐
231.8,不推荐
88.0,不推荐
27.8,不推荐
70.4,不推荐
69.1,不推荐
61.2,不推荐
70.7,不推荐
73.2,不推荐
8.4,不推荐
27.1,推荐
42.9,不推荐
41.4,不推荐
53.2,推荐
36.9,不推荐
14.3,不推荐
24.8,推荐
42.2,不推荐
141.7,不推荐
86.7,不推荐
2.3,推荐
17.0,不推荐
171.4,推荐
33.6,不推荐
8.6,不推荐
0.5,不推荐
133.2,不推荐
182.4,推荐
15.9,推荐
137.6,不推荐
58.3,不推荐
36.5,推荐
93.3,不推荐
307.7,不推荐
80.6,推荐
165.8,不推荐
60.5,推荐
37.1,不推荐
80.1,不推荐
55.2,不推荐
146.5,不推荐
12.8,不推荐
67.3,推荐
110.3,不推荐
26.9,不推荐
0.9,不推荐
61.9,不推荐
2.0,不推荐
59.1,不推荐
140.1,不推荐
73.6,不推荐
25.0,不推荐
132.2,不推荐
0.3,不推荐
32.2,推荐
80.8,不推荐
33.2,不推荐
25.4,不推荐
120.0,不推荐
7.0,推荐
122.0,不推荐
38.1,不推荐
22.4,不推荐
36.6,推荐
191.5,不推荐
46.5,不推荐
